,Headline,Date,Time,link,Publisher
0,Top 10 Ph.D. Data Science Courses to Enrol for in 2023,2023-01-09,09:18:52,./articles/CBMiV2h0dHBzOi8vd3d3LmFuYWx5dGljc2luc2lnaHQubmV0L3RvcC0xMC1waC1kLWRhdGEtc2NpZW5jZS1jb3Vyc2VzLXRvLWVucm9sLWZvci1pbi0yMDIzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,Analytics Insight
1,Creating non-dairy cheese with data science? This Bay Area founder says it's the future,2023-01-11,18:30:02,./articles/CBMiSmh0dHBzOi8vdGVjaHhwbG9yZS5jb20vbmV3cy8yMDIzLTAxLW5vbi1kYWlyeS1jaGVlc2Utc2NpZW5jZS1iYXktYXJlYS5odG1s0gFJaHR0cHM6Ly90ZWNoeHBsb3JlLmNvbS9uZXdzLzIwMjMtMDEtbm9uLWRhaXJ5LWNoZWVzZS1zY2llbmNlLWJheS1hcmVhLmFtcA?hl=en-US&gl=US&ceid=US%3Aen,Tech Xplore
2,Top 10 Data Science Jobs to Apply for in Jan 2023,2023-01-10,09:21:13,./articles/CBMiU2h0dHBzOi8vd3d3LmFuYWx5dGljc2luc2lnaHQubmV0L3RvcC0xMC1kYXRhLXNjaWVuY2Utam9icy10by1hcHBseS1mb3ItaW4tamFuLTIwMjMv0gEA?hl=en-US&gl=US&ceid=US%3Aen,Analytics Insight
3,Data Science vs Software Engineering: Do You Know the Difference?,2023-01-09,13:37:34,./articles/CBMiYWh0dHBzOi8vd3d3LmFuYWx5dGljc2luc2lnaHQubmV0L2RhdGEtc2NpZW5jZS12cy1zb2Z0d2FyZS1lbmdpbmVlcmluZy1kby15b3Uta25vdy10aGUtZGlmZmVyZW5jZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,Analytics Insight
4,The Top 10 Discord Servers for Data Scientists,2023-01-11,16:46:00,./articles/CBMiPmh0dHBzOi8vd3d3Lm1ha2V1c2VvZi5jb20vdG9wLWRpc2NvcmQtc2VydmVycy1kYXRhLXNjaWVudGlzdHMv0gEA?hl=en-US&gl=US&ceid=US%3Aen,MUO - MakeUseOf
5,Seek lands $7.5M investment for AI that answers domain-specific questions,2023-01-11,14:00:51,./articles/CBMiSWh0dHBzOi8vd3d3LnlhaG9vLmNvbS9saWZlc3R5bGUvc2Vlay1sYW5kcy03LTVtLWludmVzdG1lbnQtMTQwMDUxMjQ2Lmh0bWzSAVFodHRwczovL3d3dy55YWhvby5jb20vYW1waHRtbC9saWZlc3R5bGUvc2Vlay1sYW5kcy03LTVtLWludmVzdG1lbnQtMTQwMDUxMjQ2Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen,Yahoo Life
6,Why are Big Tech Boys Visiting India?,2023-01-10,09:11:15,./articles/CBMiQ2h0dHBzOi8vYW5hbHl0aWNzaW5kaWFtYWcuY29tL3doeS1hcmUtYmlnLXRlY2gtYm95cy12aXNpdGluZy1pbmRpYS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,Analytics India Magazine
7,4 data science predictions for 2023,2023-01-05,13:01:51,./articles/CBMiRmh0dHBzOi8vdGVjaGNydW5jaC5jb20vMjAyMy8wMS8wNS80LWRhdGEtc2NpZW5jZS1wcmVkaWN0aW9ucy1mb3ItMjAyMy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,TechCrunch
8,The Beginner's Guide to Understanding Data Science and Machine Learning,2022-12-21,08:00:00,./articles/CBMibGh0dHBzOi8vd3d3LmVudHJlcHJlbmV1ci5jb20vc2NpZW5jZS10ZWNobm9sb2d5L3RoZS1iZWdpbm5lcnMtZ3VpZGUtdG8tdW5kZXJzdGFuZGluZy1kYXRhLXNjaWVuY2UtYW5kLzQ0MDI4NtIBAA?hl=en-US&gl=US&ceid=US%3Aen,Entrepreneur
9,These 4 free data- and cybersecurity-focused courses from IBM take just 10 hours to complete,2022-12-21,08:00:00,./articles/CBMigwFodHRwczovL2ZvcnR1bmUuY29tL2VkdWNhdGlvbi9hcnRpY2xlcy90aGVzZS00LWZyZWUtZGF0YS1hbmQtY3liZXJzZWN1cml0eS1mb2N1c2VkLWNvdXJzZXMtZnJvbS1pYm0tdGFrZS1qdXN0LTEwLWhvdXJzLXRvLWNvbXBsZXRlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,Fortune
10,All Marketers Should Be Data Scientists,2023-01-10,12:30:00,./articles/CBMiZGh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvZm9yYmVzYWdlbmN5Y291bmNpbC8yMDIzLzAxLzEwL2FsbC1tYXJrZXRlcnMtc2hvdWxkLWJlLWRhdGEtc2NpZW50aXN0cy_SAWhodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2ZvcmJlc2FnZW5jeWNvdW5jaWwvMjAyMy8wMS8xMC9hbGwtbWFya2V0ZXJzLXNob3VsZC1iZS1kYXRhLXNjaWVudGlzdHMvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,Forbes
11,What is data science? | UTSA Today,2023-01-09,10:48:33,./articles/CBMiQmh0dHBzOi8vd3d3LnV0c2EuZWR1L3RvZGF5LzIwMjMvMDEvc3Rvcnkvd2hhdC1pcy1kYXRhLXNjaWVuY2UuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,UTSA
12,"Data, Analytics and AI: What Will Happen in 2023",2023-01-11,13:03:18,./articles/CBMiQmh0dHBzOi8vdGhlbmV3c3RhY2suaW8vZGF0YS1hbmFseXRpY3MtYW5kLWFpLXByZWRpY3Rpb25zLWZvci0yMDIzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,The New Stack
13,Data4All workshops demonstrate rich potential of data science to high school students,2023-01-11,16:50:00,./articles/CBMid2h0dHBzOi8vd3d3Lm5ld3N3aXNlLmNvbS9hcnRpY2xlcy9kYXRhNGFsbC13b3Jrc2hvcHMtZGVtb25zdHJhdGUtcmljaC1wb3RlbnRpYWwtb2YtZGF0YS1zY2llbmNlLXRvLWhpZ2gtc2Nob29sLXN0dWRlbnRz0gF3aHR0cHM6Ly93d3cubmV3c3dpc2UuY29tL2FydGljbGVzL2RhdGE0YWxsLXdvcmtzaG9wcy1kZW1vbnN0cmF0ZS1yaWNoLXBvdGVudGlhbC1vZi1kYXRhLXNjaWVuY2UtdG8taGlnaC1zY2hvb2wtc3R1ZGVudHM?hl=en-US&gl=US&ceid=US%3Aen,Newswise
14,DataRobot Notebooks for Data Science and the Enterprise Now ...,2023-01-10,14:08:25,./articles/CBMiamh0dHBzOi8vd3d3LmRhdGFuYW1pLmNvbS8yMDIzLzAxLzEwL2RhdGFyb2JvdC1ub3RlYm9va3MtZm9yLWRhdGEtc2NpZW5jZS1hbmQtdGhlLWVudGVycHJpc2Utbm93LWF2YWlsYWJsZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,Datanami
15,Data Science in Personal Care NPD at Procter & Gamble,2023-01-11,12:14:37,./articles/CBMiYGh0dHBzOi8vd3d3LmhhcHBpLmNvbS9jb250ZW50cy92aWV3X2hhcHBpLXR2LzIwMjMtMDEtMTEvZGF0YS1zY2llbmNlLWluLXBlcnNvbmFsLWNhcmUtbnBkLWF0LXBnL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,happi.com
16,Palantir and Posit Partner to Integrate RStudio into Palantir Foundry,2023-01-11,11:59:00,./articles/CBMifWh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvcGFsYW50aXItYW5kLXBvc2l0LXBhcnRuZXItdG8taW50ZWdyYXRlLXJzdHVkaW8taW50by1wYWxhbnRpci1mb3VuZHJ5LTMwMTcxODcwMS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,PR Newswire
17,Data Science and Machine Learning: Unlocking new frontiers in ...,2023-01-11,04:21:30,./articles/CBMiU2h0dHBzOi8vd3d3LmxleG9sb2d5LmNvbS9saWJyYXJ5L2RldGFpbC5hc3B4P2c9ZTg5MzVmNDctNjM2NS00ZGQwLWE4NDktY2UyZWRiNTg3Y2Fi0gEA?hl=en-US&gl=US&ceid=US%3Aen,Lexology
18,Xebia boosts data science practice with Poland-based GetInData,2023-01-10,07:52:13,./articles/CBMiY2h0dHBzOi8vd3d3LmNvbnN1bHRhbmN5LmV1L25ld3MvODM2OC94ZWJpYS1ib29zdHMtZGF0YS1zY2llbmNlLXByYWN0aWNlLXdpdGgtcG9sYW5kLWJhc2VkLWdldGluZGF0YdIBZ2h0dHBzOi8vd3d3LmNvbnN1bHRhbmN5LmV1L25ld3MvYW1wLzgzNjgveGViaWEtYm9vc3RzLWRhdGEtc2NpZW5jZS1wcmFjdGljZS13aXRoLXBvbGFuZC1iYXNlZC1nZXRpbmRhdGE?hl=en-US&gl=US&ceid=US%3Aen,Consultancy.eu
19,"Kristen Thomasino, Fintech Data Scientist, launches 22 publications in 8 months, shares Insights on Health Data Science, Economic Development Opportunities, Vocational Rehabilitation, Pain Management, Mobility, Muscle Spasms, and Brain Fog",2023-01-10,16:30:00,./articles/CBMiVmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9rcmlzdGVuLXRob21hc2luby1maW50ZWNoLWRhdGEtc2NpZW50aXN0LTE2MzAwMDU1OS5odG1s0gFeaHR0cHM6Ly9maW5hbmNlLnlhaG9vLmNvbS9hbXBodG1sL25ld3Mva3Jpc3Rlbi10aG9tYXNpbm8tZmludGVjaC1kYXRhLXNjaWVudGlzdC0xNjMwMDA1NTkuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,Yahoo Finance
20,2023 Finalists - UNC Research,2023-01-11,18:49:40,./articles/CBMiQWh0dHBzOi8vcmVzZWFyY2gudW5jLmVkdS9jcmVhdGl2aXR5LWh1YnMvcHJvamVjdHMvZmluYWxpc3RzLTIwMjMv0gEA?hl=en-US&gl=US&ceid=US%3Aen,UNC Research
21,"How a utility giant is using data analytics, machine learning to benefit customers",2023-01-10,19:07:00,./articles/CBMigwFodHRwczovL3ZlbnR1cmViZWF0LmNvbS9lbnRlcnByaXNlLWFuYWx5dGljcy9ob3ctYS11dGlsaXR5LWdpYW50LWlzLXVzaW5nLWRhdGEtYW5hbHl0aWNzLW1hY2hpbmUtbGVhcm5pbmctdG8tYmVuZWZpdC1pdHMtY3VzdG9tZXJzL9IBhwFodHRwczovL3ZlbnR1cmViZWF0LmNvbS9lbnRlcnByaXNlLWFuYWx5dGljcy9ob3ctYS11dGlsaXR5LWdpYW50LWlzLXVzaW5nLWRhdGEtYW5hbHl0aWNzLW1hY2hpbmUtbGVhcm5pbmctdG8tYmVuZWZpdC1pdHMtY3VzdG9tZXJzL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen,VentureBeat
22,Alumni couples support data science at the Library,2023-01-09,23:34:42,./articles/CBMieWh0dHBzOi8vZ2l2aW5nLnVjZGF2aXMuZWR1L2ltcGFjdHMtZ2l2aW5nL2luLWdyZWF0ZXItZm9jdXMtbWFnYXppbmUtZmFsbC0yMDIyL2FsdW1uaS1jb3VwbGVzLXN1cHBvcnQtZGF0YS1zY2llbmNlLWxpYnJhcnnSAQA?hl=en-US&gl=US&ceid=US%3Aen,"University of California, Davis"
23,Why 2023 Will Be The Year Of AI Education,2023-01-11,01:02:28,./articles/CBMiYGh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvbmlzaGF0YWxhZ2FsYS8yMDIzLzAxLzEwL3doeS0yMDIzLXdpbGwtYmUtdGhlLXllYXItb2YtYWktZWR1Y2F0aW9uL9IBZGh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvbmlzaGF0YWxhZ2FsYS8yMDIzLzAxLzEwL3doeS0yMDIzLXdpbGwtYmUtdGhlLXllYXItb2YtYWktZWR1Y2F0aW9uL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen,Forbes
24,Data Science's Influence on Commercial Real Estate,2023-01-08,08:01:11,./articles/CBMiS2h0dHBzOi8vd3d3LnByb3Btb2RvLmNvbS9kYXRhLXNjaWVuY2VzLWluZmx1ZW5jZS1vbi1jb21tZXJjaWFsLXJlYWwtZXN0YXRlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,Propmodo
25,From then to now: How an alumni gift engages veterans in research ...,2023-01-11,14:25:35,./articles/CBMieWh0dHBzOi8vbmV3cy53bS5lZHUvMjAyMy8wMS8xMS9mcm9tLXRoZW4tdG8tbm93LWhvdy1hbi1hbHVtbmktZ2lmdC1lbmdhZ2VzLXZldGVyYW5zLWluLXJlc2VhcmNoLXVzaW5nLWRhdGEtc2NpZW5jZS10b29scy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,William & Mary
26,Tackle today’s economic problems with Data Science,2023-01-10,18:39:52,./articles/CBMiY2h0dHBzOi8vdGltZXNvZmluZGlhLmluZGlhdGltZXMuY29tL2Jsb2dzL3ZvaWNlcy90YWNrbGUtdG9kYXlzLWVjb25vbWljLXByb2JsZW1zLXdpdGgtZGF0YS1zY2llbmNlL9IBY2h0dHBzOi8vdGltZXNvZmluZGlhLmluZGlhdGltZXMuY29tL2Jsb2dzL3ZvaWNlcy90YWNrbGUtdG9kYXlzLWVjb25vbWljLXByb2JsZW1zLXdpdGgtZGF0YS1zY2llbmNlLw?hl=en-US&gl=US&ceid=US%3Aen,Times of India
27,Veradigm Leads $45M Investment in Behavioral Health Data ...,2023-01-10,19:02:22,./articles/CBMicmh0dHBzOi8vYmhidXNpbmVzcy5jb20vMjAyMy8wMS8xMC92ZXJhZGlnbS1sZWFkcy00NW0taW52ZXN0bWVudC1pbi1iZWhhdmlvcmFsLWhlYWx0aC1kYXRhLXNjaWVuY2Utc3RhcnR1cC1ob2xtdXNrL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,Behavioral Health Business
28,Data scientists of tomorrow are made at Rawls College Of Business ...,2023-01-10,17:53:19,./articles/CBMigwFodHRwczovL3d3dy5zdHVkeWludGVybmF0aW9uYWwuY29tL25ld3MvZGF0YS1zY2llbnRpc3RzLW9mLXRvbW9ycm93LWFyZS1tYWRlLWF0LXJhd2xzLWNvbGxlZ2Utb2YtYnVzaW5lc3MtYXQtdGV4YXMtdGVjaC11bml2ZXJzaXR5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,Study International News
29,Director of data analytics: Role and key skill requirements,2023-01-09,13:12:00,./articles/CBMiaGh0dHBzOi8vdmVudHVyZWJlYXQuY29tL2VudGVycHJpc2UtYW5hbHl0aWNzL2RpcmVjdG9yLW9mLWRhdGEtYW5hbHl0aWNzLXJvbGUtYW5kLWtleS1za2lsbC1yZXF1aXJlbWVudHMv0gFsaHR0cHM6Ly92ZW50dXJlYmVhdC5jb20vZW50ZXJwcmlzZS1hbmFseXRpY3MvZGlyZWN0b3Itb2YtZGF0YS1hbmFseXRpY3Mtcm9sZS1hbmQta2V5LXNraWxsLXJlcXVpcmVtZW50cy9hbXAv?hl=en-US&gl=US&ceid=US%3Aen,VentureBeat
30,DSC Weekly 10 January 2023 – Recession Analysis,2023-01-10,20:42:07,./articles/CBMiUWh0dHBzOi8vd3d3LmRhdGFzY2llbmNlY2VudHJhbC5jb20vZHNjLXdlZWtseS0xMC1qYW51YXJ5LTIwMjMtcmVjZXNzaW9uLWFuYWx5c2lzL9IBVWh0dHBzOi8vd3d3LmRhdGFzY2llbmNlY2VudHJhbC5jb20vZHNjLXdlZWtseS0xMC1qYW51YXJ5LTIwMjMtcmVjZXNzaW9uLWFuYWx5c2lzL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen,Data Science Central
31,René Vidal appointed Penn Integrates Knowledge University ...,2023-01-11,12:00:00,./articles/CBMiaWh0dHBzOi8vcGVubnRvZGF5LnVwZW5uLmVkdS9uZXdzL3JlbmUtdmlkYWwtYXBwb2ludGVkLXBlbm4taW50ZWdyYXRlcy1rbm93bGVkZ2UtdW5pdmVyc2l0eS1wcm9mZXNzb3ItcGVubtIBAA?hl=en-US&gl=US&ceid=US%3Aen,Penn Today
32,"NBCU Merges Research, Data Science Ops Across All TV and Streaming Divisions Under Peacock’s Will Gonzalez",2023-01-11,19:00:00,./articles/CBMiZ2h0dHBzOi8vdmFyaWV0eS5jb20vMjAyMy90di9uZXdzL25iY3UtcmVzZWFyY2gtZGF0YS1zY2llbmNlLXBlYWNvY2std2lsbC1nb256YWxlei1wcm9tb3Rpb24tMTIzNTQ4NjE0Ni_SAWtodHRwczovL3ZhcmlldHkuY29tLzIwMjMvdHYvbmV3cy9uYmN1LXJlc2VhcmNoLWRhdGEtc2NpZW5jZS1wZWFjb2NrLXdpbGwtZ29uemFsZXotcHJvbW90aW9uLTEyMzU0ODYxNDYvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,Variety
33,Seek lands $7.5M investment for AI that answers domain-specific questions,2023-01-11,14:01:17,./articles/CBMia2h0dHBzOi8vdGVjaGNydW5jaC5jb20vMjAyMy8wMS8xMS9zZWVrLWxhbmRzLTctNW0taW52ZXN0bWVudC1mb3ItYWktdGhhdC1hbnN3ZXJzLWRvbWFpbi1zcGVjaWZpYy1xdWVzdGlvbnMv0gFvaHR0cHM6Ly90ZWNoY3J1bmNoLmNvbS8yMDIzLzAxLzExL3NlZWstbGFuZHMtNy01bS1pbnZlc3RtZW50LWZvci1haS10aGF0LWFuc3dlcnMtZG9tYWluLXNwZWNpZmljLXF1ZXN0aW9ucy9hbXAv?hl=en-US&gl=US&ceid=US%3Aen,TechCrunch
