,Headline,Date,Time,link,Publisher
0,Nassau County GOP calls for Santos to resign,2023-01-11,18:37:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8wMS8xMS9wb2xpdGljcy9nZW9yZ2Utc2FudG9zLW5hc3NhdS1jb3VudHktcmVzaWduL2luZGV4Lmh0bWzSAVlodHRwczovL2FtcC5jbm4uY29tL2Nubi8yMDIzLzAxLzExL3BvbGl0aWNzL2dlb3JnZS1zYW50b3MtbmFzc2F1LWNvdW50eS1yZXNpZ24vaW5kZXguaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,CNN
1,Pence slams 'double standards' in handling of Biden documents by DOJ and media,2023-01-11,13:08:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LmZveG5ld3MuY29tL3BvbGl0aWNzL3BlbmNlLXNsYW1zLWRvdWJsZS1zdGFuZGFyZHMtaGFuZGxpbmctYmlkZW4tZG9jdW1lbnRzLWRvai1tZWRpYdIBZGh0dHBzOi8vd3d3LmZveG5ld3MuY29tL3BvbGl0aWNzL3BlbmNlLXNsYW1zLWRvdWJsZS1zdGFuZGFyZHMtaGFuZGxpbmctYmlkZW4tZG9jdW1lbnRzLWRvai1tZWRpYS5hbXA?hl=en-US&gl=US&ceid=US%3Aen,Fox News
2,US President Joe Biden Speech | Biden Surprised About Classified Documents | US News | English News,2023-01-11,17:00:54,https://news.google.com/./articles/CCAiC3BiN25aQ0sxdU44mAEB?hl=en-US&gl=US&ceid=US%3Aen,CNN-News18
3,Watch how Biden reacted to reporter questions on classified documents,2023-01-10,19:35:31,https://news.google.com/./articles/CCAiC0NCN0ZvX3hQeGJZmAEB?hl=en-US&gl=US&ceid=US%3Aen,CNN
4,The Biden papers and the Mar-a-Lago documents: Apples and oranges?,2023-01-11,17:00:00,https://news.google.com/./articles/CBMicWh0dHBzOi8vdGhlaGlsbC5jb20vb3Bpbmlvbi93aGl0ZS1ob3VzZS8zODA4ODE5LXRoZS1iaWRlbi1wYXBlcnMtYW5kLXRoZS1tYXItYS1sYWdvLWRvY3VtZW50cy1hcHBsZXMtYW5kLW9yYW5nZXMv0gF1aHR0cHM6Ly90aGVoaWxsLmNvbS9vcGluaW9uL3doaXRlLWhvdXNlLzM4MDg4MTktdGhlLWJpZGVuLXBhcGVycy1hbmQtdGhlLW1hci1hLWxhZ28tZG9jdW1lbnRzLWFwcGxlcy1hbmQtb3Jhbmdlcy9hbXAv?hl=en-US&gl=US&ceid=US%3Aen,The Hill
5,Post Politics Now: House Republicans turn their attention to restricting abortion rights,2023-01-11,18:57:18,https://news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9wb2xpdGljcy8yMDIzLzAxLzExL2hvdXNlLXJlcHVibGljYW5zLW1jY2FydGh5LWFib3J0aW9uLWJpZGVuL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,The Washington Post
6,Republican-led House to take up abortion-related bills,2023-01-11,17:30:05,https://news.google.com/./articles/CCAiC1JTZEk1WEIwdG53mAEB?hl=en-US&gl=US&ceid=US%3Aen,MSNBC
7,House Republicans Kick Off First Week of Congress With 2 Abortion Votes,2023-01-10,18:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vbmV3cy55YWhvby5jb20vaG91c2UtcmVwdWJsaWNhbnMta2ljay1vZmYtZmlyc3QtMTgwMDAwMzM2Lmh0bWzSAU5odHRwczovL25ld3MueWFob28uY29tL2FtcGh0bWwvaG91c2UtcmVwdWJsaWNhbnMta2ljay1vZmYtZmlyc3QtMTgwMDAwMzM2Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen,Yahoo News
8,House’s Republican majority gets to work with two abortion measures – live,2023-01-11,13:52:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS91cy1uZXdzL2xpdmUvMjAyMy9qYW4vMTEvaG91c2UtcmVwdWJsaWNhbnMtYWJvcnRpb24tcmlnaHRzLWNvbW1pdHRlZXMtbWNjYXJ0aHktYmlkZW4tbGl2ZS11cGRhdGVz0gF9aHR0cHM6Ly9hbXAudGhlZ3VhcmRpYW4uY29tL3VzLW5ld3MvbGl2ZS8yMDIzL2phbi8xMS9ob3VzZS1yZXB1YmxpY2Fucy1hYm9ydGlvbi1yaWdodHMtY29tbWl0dGVlcy1tY2NhcnRoeS1iaWRlbi1saXZlLXVwZGF0ZXM?hl=en-US&gl=US&ceid=US%3Aen,The Guardian US
9,California Storms Live Updates: Heavy Rain Moves North,2023-01-11,18:03:25,https://news.google.com/./articles/CBMiSWh0dHBzOi8vd3d3Lm55dGltZXMuY29tL2xpdmUvMjAyMy8wMS8xMS91cy9jYWxpZm9ybmlhLXN0b3Jtcy1yYWluLXdlYXRoZXLSAVJodHRwczovL3d3dy5ueXRpbWVzLmNvbS9saXZlLzIwMjMvMDEvMTEvdXMvY2FsaWZvcm5pYS1zdG9ybXMtcmFpbi13ZWF0aGVyLmFtcC5odG1s?hl=en-US&gl=US&ceid=US%3Aen,The New York Times
