,Headline,Date,Time,link,Publisher
0,FAA system is restored after outage halts all domestic departures in the U.S.,2023-01-11,23:12:59,https://news.google.com/./articles/CBMiTWh0dHBzOi8vd3d3Lm5iY25ld3MuY29tL25ld3MvdXMtbmV3cy91cy1mbGlnaHRzLWdyb3VuZGVkLWZhYS1vdXRhZ2UtcmNuYTY1MjQz0gEqaHR0cHM6Ly93d3cubmJjbmV3cy5jb20vbmV3cy9hbXAvcmNuYTY1MjQz?hl=en-US&gl=US&ceid=US%3Aen,NBC News
1,Embattled George Santos defies New York Republicans' call to step down,2023-01-11,22:24:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL3VzL25ldy15b3JrLXJlcHVibGljYW5zLXNwZWFrLW91dC1kaXNncmFjZWQtY29uZ3Jlc3NtYW4tZ2VvcmdlLXNhbnRvcy0yMDIzLTAxLTExL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,NBC News
2,House passes 'born alive' abortion bill,2023-01-11,21:50:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8wMS8xMS9wb2xpdGljcy9ob3VzZS1hYm9ydGlvbi1iaWxsL2luZGV4Lmh0bWzSAUpodHRwczovL2FtcC5jbm4uY29tL2Nubi8yMDIzLzAxLzExL3BvbGl0aWNzL2hvdXNlLWFib3J0aW9uLWJpbGwvaW5kZXguaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,NBC News
3,Classified Documents Found in Second Location Associated With Biden,2023-01-11,23:10:41,https://news.google.com/./articles/CBMiTmh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjMvMDEvMTEvdXMvcG9saXRpY3MvYmlkZW4tY2xhc3NpZmllZC1kb2N1bWVudHMuaHRtbNIBUmh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjMvMDEvMTEvdXMvcG9saXRpY3MvYmlkZW4tY2xhc3NpZmllZC1kb2N1bWVudHMuYW1wLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen,NBC News
4,Biden White House says it does not support gas stove ban,2023-01-11,18:04:05,https://news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3LmZveGJ1c2luZXNzLmNvbS9wb2xpdGljcy9iaWRlbi13aGl0ZS1ob3VzZS1zYXlzLWl0LWRvZXMtbm90LXN1cHBvcnQtZ2FzLXN0b3ZlLWJhbtIBYWh0dHBzOi8vd3d3LmZveGJ1c2luZXNzLmNvbS9wb2xpdGljcy9iaWRlbi13aGl0ZS1ob3VzZS1zYXlzLWl0LWRvZXMtbm90LXN1cHBvcnQtZ2FzLXN0b3ZlLWJhbi5hbXA?hl=en-US&gl=US&ceid=US%3Aen,NBC News
5,Storm-ravaged California scrambles as fresh atmospheric river rolls in,2023-01-11,17:45:00,https://news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS91cy1uZXdzLzIwMjMvamFuLzExL2NhbGlmb3JuaWEtc3Rvcm1zLWxhdGVzdC1hdG1vc3BoZXJpYy1yaXZlctIBWmh0dHBzOi8vYW1wLnRoZWd1YXJkaWFuLmNvbS91cy1uZXdzLzIwMjMvamFuLzExL2NhbGlmb3JuaWEtc3Rvcm1zLWxhdGVzdC1hdG1vc3BoZXJpYy1yaXZlcg?hl=en-US&gl=US&ceid=US%3Aen,NBC News
6,Residents asked to shelter in place after possible explosion at LaSalle chemical plant,2023-01-11,16:34:47,https://news.google.com/./articles/CBMicGh0dHBzOi8vd2dudHYuY29tL25ld3MvZW1lcmdlbmN5LWNyZXdzLXJlc3BvbmQtdG8tbGFyZ2UtZmlyZS1hZnRlci1wb3NzaWJsZS1leHBsb3Npb24tYXQtbGFzYWxsZS1jaGVtaWNhbC1wbGFudC_SAQA?hl=en-US&gl=US&ceid=US%3Aen,NBC News
7,Mega Millions Drawing: Jackpot soars to over $1.3B after no big winner Tuesday night,2023-01-11,21:29:34,https://news.google.com/./articles/CBMiV2h0dHBzOi8vYWJjN255LmNvbS9tZWdhLW1pbGxpb25zLWRyYXdpbmctd2lubmluZy1udW1iZXJzLWphY2twb3QtbWVnYW1pbGxpb25zLzEyNjg3NjM2L9IBW2h0dHBzOi8vYWJjN255LmNvbS9hbXAvbWVnYS1taWxsaW9ucy1kcmF3aW5nLXdpbm5pbmctbnVtYmVycy1qYWNrcG90LW1lZ2FtaWxsaW9ucy8xMjY4NzYzNi8?hl=en-US&gl=US&ceid=US%3Aen,NBC News
8,More storms battering California. What to expect this week,2023-01-11,20:56:21,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LmxhdGltZXMuY29tL2NhbGlmb3JuaWEvc3RvcnkvMjAyMy0wMS0xMS9tb3JlLXN0b3Jtcy1iYXR0ZXJpbmctY2FsaWZvcm5pYS13aGF0LXRvLWV4cGVjdC10aGlzLXdlZWvSAXdodHRwczovL3d3dy5sYXRpbWVzLmNvbS9jYWxpZm9ybmlhL3N0b3J5LzIwMjMtMDEtMTEvbW9yZS1zdG9ybXMtYmF0dGVyaW5nLWNhbGlmb3JuaWEtd2hhdC10by1leHBlY3QtdGhpcy13ZWVrP19hbXA9dHJ1ZQ?hl=en-US&gl=US&ceid=US%3Aen,NBC News
9,Trump ex-CFO Allen Weisselberg quickly snags coveted digs in Rikers,2023-01-11,17:44:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vdHJ1bXAtY2ZvLWFsbGVuLXdlaXNzZWxiZXJnLXF1aWNrbHktc25hZ3MtY292ZXRlZC1zYWZlLXJpa2Vycy1jZWxsLTIwMjMtMdIBbWh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vdHJ1bXAtY2ZvLWFsbGVuLXdlaXNzZWxiZXJnLXF1aWNrbHktc25hZ3MtY292ZXRlZC1zYWZlLXJpa2Vycy1jZWxsLTIwMjMtMT9hbXA?hl=en-US&gl=US&ceid=US%3Aen,NBC News
10,"What borrowers need to know about Biden's proposed student loan repayment plan, which could cut some payments in half",2023-01-11,19:05:08,https://news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjMvMDEvMTEvd2hhdC10by1rbm93LWFib3V0LWJpZGVucy1wbGFuLXRvLWN1dC1zdHVkZW50LWxvYW4tcGF5bWVudHMtaW4taGFsZi5odG1s0gFsaHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjMvMDEvMTEvd2hhdC10by1rbm93LWFib3V0LWJpZGVucy1wbGFuLXRvLWN1dC1zdHVkZW50LWxvYW4tcGF5bWVudHMtaW4taGFsZi5odG1s?hl=en-US&gl=US&ceid=US%3Aen,NBC News
11,Illinois becomes latest US state to ban assault weapons,2023-01-11,18:49:02,https://news.google.com/./articles/CBMiWGh0dHBzOi8vYWJjbmV3cy5nby5jb20vVVMvaWxsaW5vaXMtbGF0ZXN0LXVzLXN0YXRlLWJhbi1hc3NhdWx0LXdlYXBvbnMvc3Rvcnk_aWQ9OTYzNTY5MDbSAVxodHRwczovL2FiY25ld3MuZ28uY29tL2FtcC9VUy9pbGxpbm9pcy1sYXRlc3QtdXMtc3RhdGUtYmFuLWFzc2F1bHQtd2VhcG9ucy9zdG9yeT9pZD05NjM1NjkwNg?hl=en-US&gl=US&ceid=US%3Aen,NBC News
12,"Idaho murders: Bryan Kohberger search warrants sealed to prevent 'serious and imminent threat,' court docs",2023-01-11,19:47:00,https://news.google.com/./articles/CBMiemh0dHBzOi8vd3d3LmZveG5ld3MuY29tL3VzL2lkYWhvLW11cmRlcnMtYnJ5YW4ta29oYmVyZ2VyLXNlYXJjaC13YXJyYW50cy1zZWFsZWQtcHJldmVudC1zZXJpb3VzLWltbWluZW50LXRocmVhdC1jb3VydC1kb2Nz0gF-aHR0cHM6Ly93d3cuZm94bmV3cy5jb20vdXMvaWRhaG8tbXVyZGVycy1icnlhbi1rb2hiZXJnZXItc2VhcmNoLXdhcnJhbnRzLXNlYWxlZC1wcmV2ZW50LXNlcmlvdXMtaW1taW5lbnQtdGhyZWF0LWNvdXJ0LWRvY3MuYW1w?hl=en-US&gl=US&ceid=US%3Aen,NBC News
13,Jill Biden had three skin lesions removed,2023-01-11,21:52:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vd3d3Lm5wci5vcmcvMjAyMy8wMS8xMS8xMTQ4MzMyNDE3L2ppbGwtYmlkZW4tc2tpbi1jYW5jZXItc3VyZ2VyedIBAA?hl=en-US&gl=US&ceid=US%3Aen,NBC News
14,Rep. Barbara Lee tells colleagues she plans to run for Senate,2023-01-11,19:09:42,https://news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3Lm5iY25ld3MuY29tL3BvbGl0aWNzLzIwMjQtZWxlY3Rpb24vcmVwLWJhcmJhcmEtbGVlLXNlbmF0ZS1ydW4tMjAyNC1jYWxpZm9ybmlhLXJjbmE2NTM3M9IBKmh0dHBzOi8vd3d3Lm5iY25ld3MuY29tL25ld3MvYW1wL3JjbmE2NTM3Mw?hl=en-US&gl=US&ceid=US%3Aen,NBC News
15,Arkansas Gov. Sarah Huckabee Sanders bans term 'Latinx' on her first day in office,2023-01-11,22:01:45,https://news.google.com/./articles/CBMic2h0dHBzOi8vd3d3Lm5iY25ld3MuY29tL25ld3MvbGF0aW5vL2Fya2Fuc2FzLWdvdi1zYXJhaC1odWNrYWJlZS1zYW5kZXJzLWJhbnMtdGVybS1sYXRpbngtZmlyc3QtZGF5LW9mZmljZS1yY25hNjUzNTHSASpodHRwczovL3d3dy5uYmNuZXdzLmNvbS9uZXdzL2FtcC9yY25hNjUzNTE?hl=en-US&gl=US&ceid=US%3Aen,NBC News
16,GOP opens long-promised investigation into Biden family,2023-01-11,22:23:52,https://news.google.com/./articles/CBMijAFodHRwczovL2FwbmV3cy5jb20vYXJ0aWNsZS9iaWRlbi10ZWNobm9sb2d5LXBvbGl0aWNzLXVuaXRlZC1zdGF0ZXMtZ292ZXJubWVudC11cy1kZXBhcnRtZW50LW9mLXRoZS10cmVhc3VyeS1iODBlMzY1MzNmYThkYTg1MTk5ZmUzOTdkMmI1MGQ4NdIBAA?hl=en-US&gl=US&ceid=US%3Aen,NBC News
17,Alito and Thomas encourage opponents of gun control laws to keep pressure on the courts,2023-01-11,20:22:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8wMS8xMS9wb2xpdGljcy9zdXByZW1lLWNvdXJ0LXNlY29uZC1hbWVuZG1lbnQtZ3Vucy1hbGl0by9pbmRleC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,NBC News
18,Biden administration extends COVID-19 public health emergency yet again,2023-01-11,16:24:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LmZveG5ld3MuY29tL3BvbGl0aWNzL2JpZGVuLWFkbWluaXN0cmF0aW9uLWV4dGVuZHMtY292aWQtMTktcHVibGljLWhlYWx0aC1lbWVyZ2VuY3ktYWdhaW7SAWhodHRwczovL3d3dy5mb3huZXdzLmNvbS9wb2xpdGljcy9iaWRlbi1hZG1pbmlzdHJhdGlvbi1leHRlbmRzLWNvdmlkLTE5LXB1YmxpYy1oZWFsdGgtZW1lcmdlbmN5LWFnYWluLmFtcA?hl=en-US&gl=US&ceid=US%3Aen,NBC News
19,Search continues for 5-year-old boy swept away near San Miguel,2023-01-11,19:41:25,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LmxhdGltZXMuY29tL2NhbGlmb3JuaWEvc3RvcnkvMjAyMy0wMS0xMS9taXNzaW5nLWJveS1zd2VwdC1hd2F5LWNhbGlmb3JuaWEtc3Rvcm3SAWVodHRwczovL3d3dy5sYXRpbWVzLmNvbS9jYWxpZm9ybmlhL3N0b3J5LzIwMjMtMDEtMTEvbWlzc2luZy1ib3ktc3dlcHQtYXdheS1jYWxpZm9ybmlhLXN0b3JtP19hbXA9dHJ1ZQ?hl=en-US&gl=US&ceid=US%3Aen,NBC News
20,U.S. House Republicans who bucked McCarthy are powered by small-dollar donors,2023-01-11,11:07:44,https://news.google.com/./articles/CBMiSWh0dHBzOi8vbmV3cy55YWhvby5jb20vdS1ob3VzZS1yZXB1YmxpY2Fucy1idWNrZWQtbWNjYXJ0aHktMTEwNzQ0MzgxLmh0bWzSAVFodHRwczovL25ld3MueWFob28uY29tL2FtcGh0bWwvdS1ob3VzZS1yZXB1YmxpY2Fucy1idWNrZWQtbWNjYXJ0aHktMTEwNzQ0MzgxLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen,NBC News
21,"'Diamond,' of pro-Trump duo Diamond and Silk, dies at 51",2023-01-11,19:11:06,https://news.google.com/./articles/CBMiYmh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2RpYW1vbmQtYW5kLXNpbGstZGVhZC1seW5ldHRlLWhhcmRhd2F5LTdiYTMwMjExMTY4N2E3MWU3Njg2ZGFkM2IwZjU3YTQz0gEA?hl=en-US&gl=US&ceid=US%3Aen,NBC News
