,Headline,Date,Time,link,Publisher
0,Y Combinator–backed Patterns is building a platform to abstract away data science busywork,2023-03-09,14:01:20,https://news.google.com/./articles/CBMifWh0dHBzOi8vdGVjaGNydW5jaC5jb20vMjAyMy8wMy8wOS95LWNvbWJpbmF0b3ItYmFja2VkLXBhdHRlcm5zLWlzLWJ1aWxkaW5nLWEtcGxhdGZvcm0tdG8tYWJzdHJhY3QtYXdheS1kYXRhLXNjaWVuY2UtYnVzeXdvcmsv0gGBAWh0dHBzOi8vdGVjaGNydW5jaC5jb20vMjAyMy8wMy8wOS95LWNvbWJpbmF0b3ItYmFja2VkLXBhdHRlcm5zLWlzLWJ1aWxkaW5nLWEtcGxhdGZvcm0tdG8tYWJzdHJhY3QtYXdheS1kYXRhLXNjaWVuY2UtYnVzeXdvcmsvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,TechCrunch
1,10 Common Data Science Myths You Should Unlearn Now,2023-03-08,22:15:00,https://news.google.com/./articles/CBMiNGh0dHBzOi8vd3d3Lm1ha2V1c2VvZi5jb20vY29tbW9uLWRhdGEtc2NpZW5jZS1teXRocy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,TechCrunch
2,What is the Role of Data Science in Sentiment Analysis in 2023?,2023-03-10,16:04:10,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LmFuYWx5dGljc2luc2lnaHQubmV0L3doYXQtaXMtdGhlLXJvbGUtb2YtZGF0YS1zY2llbmNlLWluLXNlbnRpbWVudC1hbmFseXNpcy1pbi0yMDIzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,TechCrunch
3,Why is A/B Testing Course Essential for Data Scientists?,2023-03-10,05:12:17,https://news.google.com/./articles/CBMiWWh0dHBzOi8vd3d3LmFuYWx5dGljc2luc2lnaHQubmV0L3doeS1pcy1hLWItdGVzdGluZy1jb3Vyc2UtZXNzZW50aWFsLWZvci1kYXRhLXNjaWVudGlzdHMv0gEA?hl=en-US&gl=US&ceid=US%3Aen,TechCrunch
4,What is the Difference between Machine Learning and Data Analytics?,2023-03-10,06:33:45,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LmFuYWx5dGljc2luc2lnaHQubmV0L3doYXQtaXMtdGhlLWRpZmZlcmVuY2UtYmV0d2Vlbi1tYWNoaW5lLWxlYXJuaW5nLWFuZC1kYXRhLWFuYWx5dGljcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,TechCrunch
5,The 'Search' For Simpler Analytics,2023-03-10,12:40:47,https://news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvYWRyaWFuYnJpZGd3YXRlci8yMDIzLzAzLzEwL3RoZS1zZWFyY2gtZm9yLXNpbXBsZXItYW5hbHl0aWNzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,TechCrunch
6,"UW forms medical data science institute focused on AI, machine learning, healthcare",2023-03-01,08:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LmdlZWt3aXJlLmNvbS8yMDIzL3V3LWZvcm1zLW1lZGljYWwtZGF0YS1zY2llbmNlLWluc3RpdHV0ZS1mb2N1c2VkLW9uLWFpLW1hY2hpbmUtbGVhcm5pbmctaGVhbHRoY2FyZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,TechCrunch
7,Why Retailers Fail to Adopt Advanced Data Analytics,2023-02-27,08:00:00,https://news.google.com/./articles/CBMiS2h0dHBzOi8vaGJyLm9yZy8yMDIzLzAyL3doeS1yZXRhaWxlcnMtZmFpbC10by1hZG9wdC1hZHZhbmNlZC1kYXRhLWFuYWx5dGljc9IBAA?hl=en-US&gl=US&ceid=US%3Aen,TechCrunch
8,5 high-paying careers in data science,2023-02-08,08:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vY29pbnRlbGVncmFwaC5jb20vbmV3cy81LWhpZ2gtcGF5aW5nLWNhcmVlcnMtaW4tZGF0YS1zY2llbmNl0gFIaHR0cHM6Ly9jb2ludGVsZWdyYXBoLmNvbS9uZXdzLzUtaGlnaC1wYXlpbmctY2FyZWVycy1pbi1kYXRhLXNjaWVuY2UvYW1w?hl=en-US&gl=US&ceid=US%3Aen,TechCrunch
9,Will ChatGPT Put Data Analysts Out Of Work?,2023-02-07,08:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvYmVybmFyZG1hcnIvMjAyMy8wMi8wNy93aWxsLWNoYXRncHQtcHV0LWRhdGEtYW5hbHlzdHMtb3V0LW9mLXdvcmsv0gFjaHR0cHM6Ly93d3cuZm9yYmVzLmNvbS9zaXRlcy9iZXJuYXJkbWFyci8yMDIzLzAyLzA3L3dpbGwtY2hhdGdwdC1wdXQtZGF0YS1hbmFseXN0cy1vdXQtb2Ytd29yay9hbXAv?hl=en-US&gl=US&ceid=US%3Aen,TechCrunch
10,The Ultimate Guide to Landing a Data Science Internship,2023-03-09,22:15:00,https://news.google.com/./articles/CBMiO2h0dHBzOi8vd3d3Lm1ha2V1c2VvZi5jb20vZ3VpZGUtdG8tZGF0YS1zY2llbmNlLWludGVybnNoaXAv0gEA?hl=en-US&gl=US&ceid=US%3Aen,TechCrunch
11,Data science and analytics master's program named one of the best ...,2023-03-08,14:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vbmV3cy5jbGVtc29uLmVkdS9kYXRhLXNjaWVuY2UtYW5kLWFuYWx5dGljcy1tYXN0ZXJzLXByb2dyYW0tbmFtZWQtb25lLW9mLXRoZS1iZXN0LWluLXRoZS1jb3VudHJ5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,TechCrunch
12,Statistics & Data Sciences | College of Natural Sciences,2023-03-07,08:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vY25zLnV0ZXhhcy5lZHUvYWNhZGVtaWNzL2RlcGFydG1lbnRzL3N0YXRpc3RpY3MtZGF0YS1zY2llbmNlc9IBAA?hl=en-US&gl=US&ceid=US%3Aen,TechCrunch
13,Dstillery Named to World’s Most Innovative Companies in Data Science,2023-03-10,08:26:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3Lm1hcnRlY2hjdWJlLmNvbS9kc3RpbGxlcnktbmFtZWQtdG8td29ybGRzLW1vc3QtaW5ub3ZhdGl2ZS1jb21wYW5pZXMtaW4tZGF0YS1zY2llbmNlL9IBZGh0dHBzOi8vd3d3Lm1hcnRlY2hjdWJlLmNvbS9kc3RpbGxlcnktbmFtZWQtdG8td29ybGRzLW1vc3QtaW5ub3ZhdGl2ZS1jb21wYW5pZXMtaW4tZGF0YS1zY2llbmNlL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen,TechCrunch
14,"Data Science Platform Market Is Expected To Reach around USD 378.7 Billion by 2030, Grow at a CAGR Of 16.43% during Forecast Period 2023 To 2030 | Data By Contrive Datum Insights Pvt Ltd.",2023-03-09,18:54:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9kYXRhLXNjaWVuY2UtcGxhdGZvcm0tbWFya2V0LWV4cGVjdGVkLTE4NTQwMDUxOC5odG1s0gFbaHR0cHM6Ly9maW5hbmNlLnlhaG9vLmNvbS9hbXBodG1sL25ld3MvZGF0YS1zY2llbmNlLXBsYXRmb3JtLW1hcmtldC1leHBlY3RlZC0xODU0MDA1MTguaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,TechCrunch
15,Simpson’s Paradox and its Implications in Data Science,2023-03-09,13:03:17,https://news.google.com/./articles/CBMiUGh0dHBzOi8vd3d3LmtkbnVnZ2V0cy5jb20vMjAyMy8wMy9zaW1wc29uLXBhcmFkb3gtaW1wbGljYXRpb25zLWRhdGEtc2NpZW5jZS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,TechCrunch
